Make,Model,Year,Problem,Symptoms,Solution,Cost,Difficulty
BMW,X5,2020,Tire Issues,"Uneven tire wear, Low tire pressure, Car vibration",Balance tires,$249,Easy
BMW,X5,2013,Engine Oil Leak,"Oil spots under the car, Burning smell",Replace gaskets,$470,Medium
Kia,Sportage,2012,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$175,Easy
Hyundai,Sonata,2019,Dead Battery,"Car won't start, Dim lights",Replace the battery,$55,Easy
Chevrolet,Camaro,2019,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption",Replace spark plugs,$127,Easy
Ford,F-150,2020,Exhaust System Issues,Black smoke emission,Replace catalytic converter,$929,Hard
Kia,Sportage,2015,Brake Issues,"Steering wheel vibration, Squeaking when braking",Replace brake pads,$398,Medium
Chevrolet,Camaro,2010,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps",Replace shock absorbers,$923,Hard
Mercedes,C-Class,2022,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Replace catalytic converter,$568,Hard
Audi,A4,2014,Engine Oil Leak,"Oil spots under the car, Low oil level",Replace gaskets,$483,Medium
Hyundai,Sonata,2015,Brake Issues,"Increased stopping distance, Squeaking when braking, Steering wheel vibration",Replace brake pads,$183,Medium
Hyundai,Sonata,2023,Engine Oil Leak,"Oil spots under the car, Burning smell, Low oil level",Fix the leak,$574,Medium
Nissan,Patrol,2006,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Replace brake pads,$266,Medium
Hyundai,Sonata,2019,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$228,Easy
Honda,Civic,2023,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$287,Easy
BMW,X5,2013,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Replace tires,$190,Easy
Honda,Civic,2018,Engine Oil Leak,Low oil level,Replace gaskets,$538,Medium
Nissan,Patrol,2015,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$155,Medium
Ford,F-150,2007,Brake Issues,Steering wheel vibration,Replace brake pads,$290,Medium
BMW,X5,2010,Suspension Issues,"Car swaying, Car vibration over bumps, Squeaking noise from underneath",Inspect suspension system,$512,Hard
Audi,A4,2016,Tire Issues,"Uneven tire wear, Low tire pressure",Replace tires,$232,Easy
Hyundai,Sonata,2021,Brake Issues,Squeaking when braking,Replace brake pads,$374,Medium
Hyundai,Sonata,2017,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$268,Easy
Toyota,Corolla,2022,Brake Issues,Increased stopping distance,Replace brake pads,$370,Medium
Ford,F-150,2012,Electrical System Issues,Weak battery charging,Inspect electrical wiring,$493,Medium
Nissan,Patrol,2013,Cooling System Issues,Burning smell,Replace water pump,$480,Medium
Mercedes,C-Class,2017,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Inspect cooling system,$405,Medium
BMW,X5,2010,Dead Battery,Dim lights,Replace the battery,$81,Easy
Ford,F-150,2020,Dead Battery,Car won't start,Charge the battery,$69,Easy
BMW,X5,2014,Electrical System Issues,Weak battery charging,Replace fuses,$222,Medium
Honda,Civic,2014,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise, Black smoke emission",Inspect exhaust system,$694,Hard
Kia,Sportage,2011,Cooling System Issues,Burning smell,Inspect cooling system,$328,Medium
BMW,X5,2018,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights, Weak battery charging",Replace fuses,$283,Medium
Toyota,Corolla,2019,Dead Battery,"Weak sound when starting, Dim lights",Replace the battery,$138,Easy
Toyota,Corolla,2023,Engine Oil Leak,"Low oil level, Oil spots under the car",Replace gaskets,$490,Medium
BMW,X5,2016,Exhaust System Issues,"Strong fuel smell, Black smoke emission",Replace catalytic converter,$1034,Hard
Audi,A4,2015,Engine Oil Leak,"Oil spots under the car, Burning smell",Fix the leak,$240,Medium
Chevrolet,Camaro,2017,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption",Replace spark plugs,$300,Easy
Audi,A4,2017,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Inspect exhaust system,$1109,Hard
Chevrolet,Camaro,2021,Engine Oil Leak,"Burning smell, Low oil level",Replace gaskets,$355,Medium
Audi,A4,2020,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$167,Easy
Honda,Civic,2017,Tire Issues,"Car vibration, Uneven tire wear, Low tire pressure",Replace tires,$51,Easy
BMW,X5,2019,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$185,Easy
Audi,A4,2023,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$569,Hard
Mercedes,C-Class,2015,Electrical System Issues,"Weak battery charging, Warning light on dashboard",Replace fuses,$164,Medium
Hyundai,Sonata,2016,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Replace catalytic converter,$1178,Hard
Audi,A4,2023,Dead Battery,Weak sound when starting,Charge the battery,$191,Easy
Nissan,Patrol,2022,Cooling System Issues,Coolant leakage,Inspect cooling system,$563,Medium
Honda,Civic,2012,Engine Oil Leak,Oil spots under the car,Fix the leak,$203,Medium
Honda,Civic,2023,Suspension Issues,"Car swaying, Car vibration over bumps",Replace shock absorbers,$429,Hard
Kia,Sportage,2023,Cooling System Issues,Engine overheating,Inspect cooling system,$566,Medium
Audi,A4,2022,Engine Oil Leak,"Burning smell, Low oil level",Fix the leak,$360,Medium
Toyota,Corolla,2021,Exhaust System Issues,"Loud exhaust noise, Black smoke emission, Strong fuel smell",Inspect exhaust system,$935,Hard
Ford,F-150,2013,Brake Issues,Increased stopping distance,Inspect brake system,$358,Medium
Audi,A4,2014,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Replace catalytic converter,$800,Hard
Toyota,Corolla,2022,Engine Oil Leak,"Oil spots under the car, Burning smell",Replace gaskets,$287,Medium
Honda,Civic,2023,Exhaust System Issues,Black smoke emission,Inspect exhaust system,$1192,Hard
Audi,A4,2013,Tire Issues,Car vibration,Replace tires,$270,Easy
Kia,Sportage,2022,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration, Poor acceleration",Replace spark plugs,$105,Easy
Honda,Civic,2015,Cooling System Issues,"Coolant leakage, Burning smell",Inspect cooling system,$360,Medium
Honda,Civic,2014,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$132,Easy
Chevrolet,Camaro,2020,Engine Oil Leak,"Low oil level, Burning smell, Oil spots under the car",Fix the leak,$441,Medium
Chevrolet,Camaro,2011,Engine Oil Leak,"Burning smell, Oil spots under the car, Low oil level",Fix the leak,$268,Medium
Chevrolet,Camaro,2010,Dead Battery,"Weak sound when starting, Car won't start",Replace the battery,$144,Easy
Audi,A4,2020,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$674,Hard
Nissan,Patrol,2006,Electrical System Issues,Failure to turn on lights,Replace fuses,$457,Medium
Ford,F-150,2013,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise, Black smoke emission",Replace catalytic converter,$986,Hard
Kia,Sportage,2010,Exhaust System Issues,Strong fuel smell,Replace catalytic converter,$830,Hard
Kia,Sportage,2021,Suspension Issues,"Car swaying, Squeaking noise from underneath, Car vibration over bumps",Replace shock absorbers,$695,Hard
Mercedes,C-Class,2018,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$167,Easy
Mercedes,C-Class,2019,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$281,Easy
Toyota,Corolla,2017,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$245,Easy
Honda,Civic,2022,Electrical System Issues,Failure to turn on lights,Inspect electrical wiring,$407,Medium
Chevrolet,Camaro,2023,Faulty Spark Plugs,"Engine vibration, Poor acceleration",Replace spark plugs,$110,Easy
Hyundai,Sonata,2016,Electrical System Issues,"Warning light on dashboard, Weak battery charging, Failure to turn on lights",Inspect electrical wiring,$390,Medium
Mercedes,C-Class,2016,Brake Issues,Steering wheel vibration,Replace brake pads,$204,Medium
Mercedes,C-Class,2012,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Replace catalytic converter,$777,Hard
Honda,Civic,2011,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell, Black smoke emission",Replace catalytic converter,$922,Hard
Ford,F-150,2013,Electrical System Issues,"Weak battery charging, Failure to turn on lights, Warning light on dashboard",Inspect electrical wiring,$258,Medium
Hyundai,Sonata,2016,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$271,Easy
Toyota,Corolla,2022,Dead Battery,Weak sound when starting,Replace the battery,$105,Easy
Honda,Civic,2016,Dead Battery,"Dim lights, Car won't start, Weak sound when starting",Replace the battery,$55,Easy
Mercedes,C-Class,2017,Engine Oil Leak,"Oil spots under the car, Burning smell",Fix the leak,$212,Medium
Kia,Sportage,2023,Tire Issues,"Uneven tire wear, Car vibration",Replace tires,$239,Easy
Honda,Civic,2022,Dead Battery,"Car won't start, Weak sound when starting, Dim lights",Replace the battery,$186,Easy
Mercedes,C-Class,2016,Brake Issues,Steering wheel vibration,Inspect brake system,$274,Medium
Ford,F-150,2007,Dead Battery,"Dim lights, Weak sound when starting",Replace the battery,$132,Easy
Mercedes,C-Class,2019,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$282,Easy
Nissan,Patrol,2021,Dead Battery,"Dim lights, Car won't start, Weak sound when starting",Charge the battery,$79,Easy
Toyota,Corolla,2021,Tire Issues,"Uneven tire wear, Low tire pressure",Balance tires,$188,Easy
Ford,F-150,2019,Suspension Issues,Car swaying,Replace shock absorbers,$883,Hard
Nissan,Patrol,2018,Brake Issues,Steering wheel vibration,Replace brake pads,$213,Medium
Honda,Civic,2011,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$217,Medium
Hyundai,Sonata,2018,Engine Oil Leak,"Oil spots under the car, Low oil level, Burning smell",Replace gaskets,$353,Medium
Hyundai,Sonata,2023,Dead Battery,"Weak sound when starting, Car won't start, Dim lights",Replace the battery,$71,Easy
Hyundai,Sonata,2023,Tire Issues,Low tire pressure,Replace tires,$261,Easy
Audi,A4,2021,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps, Car swaying",Inspect suspension system,$534,Hard
Hyundai,Sonata,2015,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$572,Hard
Honda,Civic,2012,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Inspect cooling system,$474,Medium
Audi,A4,2019,Suspension Issues,"Car swaying, Squeaking noise from underneath",Inspect suspension system,$466,Hard
Hyundai,Sonata,2015,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Replace brake pads,$309,Medium
Hyundai,Sonata,2021,Electrical System Issues,"Warning light on dashboard, Weak battery charging, Failure to turn on lights",Replace fuses,$436,Medium
Mercedes,C-Class,2017,Dead Battery,Car won't start,Replace the battery,$99,Easy
BMW,X5,2017,Dead Battery,"Dim lights, Weak sound when starting",Replace the battery,$190,Easy
Honda,Civic,2016,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration, Poor acceleration",Replace spark plugs,$200,Easy
Kia,Sportage,2020,Suspension Issues,"Squeaking noise from underneath, Car swaying",Replace shock absorbers,$734,Hard
Audi,A4,2014,Exhaust System Issues,Black smoke emission,Replace catalytic converter,$1096,Hard
Audi,A4,2015,Tire Issues,"Low tire pressure, Car vibration",Replace tires,$76,Easy
Ford,F-150,2013,Dead Battery,Weak sound when starting,Replace the battery,$87,Easy
Nissan,Patrol,2014,Engine Oil Leak,Oil spots under the car,Replace gaskets,$536,Medium
Honda,Civic,2022,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Replace fuses,$224,Medium
BMW,X5,2022,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$654,Hard
Honda,Civic,2014,Brake Issues,"Steering wheel vibration, Increased stopping distance",Inspect brake system,$346,Medium
Ford,F-150,2019,Brake Issues,"Steering wheel vibration, Squeaking when braking",Inspect brake system,$321,Medium
Chevrolet,Camaro,2018,Dead Battery,"Weak sound when starting, Dim lights, Car won't start",Replace the battery,$105,Easy
Mercedes,C-Class,2023,Brake Issues,Increased stopping distance,Replace brake pads,$162,Medium
Kia,Sportage,2019,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$158,Easy
Toyota,Corolla,2017,Exhaust System Issues,Strong fuel smell,Inspect exhaust system,$871,Hard
Toyota,Corolla,2019,Brake Issues,"Increased stopping distance, Steering wheel vibration",Replace brake pads,$373,Medium
BMW,X5,2013,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise",Replace catalytic converter,$915,Hard
Nissan,Patrol,2004,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Balance tires,$202,Easy
Toyota,Corolla,2020,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$208,Easy
Honda,Civic,2011,Dead Battery,Dim lights,Replace the battery,$118,Easy
Mercedes,C-Class,2019,Suspension Issues,"Squeaking noise from underneath, Car swaying, Car vibration over bumps",Inspect suspension system,$849,Hard
BMW,X5,2014,Cooling System Issues,Coolant leakage,Inspect cooling system,$750,Medium
BMW,X5,2017,Engine Oil Leak,Burning smell,Fix the leak,$540,Medium
Hyundai,Sonata,2013,Electrical System Issues,"Weak battery charging, Failure to turn on lights",Replace fuses,$365,Medium
Chevrolet,Camaro,2020,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration, Poor acceleration",Replace spark plugs,$222,Easy
Audi,A4,2017,Suspension Issues,"Car vibration over bumps, Car swaying, Squeaking noise from underneath",Replace shock absorbers,$542,Hard
Kia,Sportage,2022,Brake Issues,Squeaking when braking,Replace brake pads,$388,Medium
Chevrolet,Camaro,2021,Dead Battery,"Weak sound when starting, Dim lights, Car won't start",Replace the battery,$112,Easy
Honda,Civic,2019,Tire Issues,"Car vibration, Uneven tire wear, Low tire pressure",Balance tires,$139,Easy
Nissan,Patrol,2018,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Replace catalytic converter,$963,Hard
Audi,A4,2015,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$446,Medium
Audi,A4,2017,Cooling System Issues,"Coolant leakage, Burning smell",Inspect cooling system,$558,Medium
Kia,Sportage,2012,Engine Oil Leak,"Low oil level, Oil spots under the car, Burning smell",Fix the leak,$220,Medium
Hyundai,Sonata,2023,Engine Oil Leak,"Oil spots under the car, Low oil level",Fix the leak,$557,Medium
BMW,X5,2020,Dead Battery,"Dim lights, Weak sound when starting",Replace the battery,$195,Easy
Kia,Sportage,2011,Exhaust System Issues,"Strong fuel smell, Black smoke emission",Replace catalytic converter,$913,Hard
Audi,A4,2013,Tire Issues,"Low tire pressure, Uneven tire wear",Balance tires,$57,Easy
Nissan,Patrol,2015,Brake Issues,Squeaking when braking,Inspect brake system,$356,Medium
Chevrolet,Camaro,2017,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$537,Hard
Hyundai,Sonata,2016,Tire Issues,Uneven tire wear,Balance tires,$106,Easy
Chevrolet,Camaro,2016,Suspension Issues,Car vibration over bumps,Inspect suspension system,$836,Hard
Kia,Sportage,2019,Exhaust System Issues,"Black smoke emission, Loud exhaust noise, Strong fuel smell",Replace catalytic converter,$1066,Hard
Hyundai,Sonata,2012,Brake Issues,Increased stopping distance,Inspect brake system,$248,Medium
Hyundai,Sonata,2023,Exhaust System Issues,Loud exhaust noise,Inspect exhaust system,$710,Hard
Mercedes,C-Class,2018,Tire Issues,"Car vibration, Uneven tire wear",Balance tires,$165,Easy
Nissan,Patrol,2022,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$105,Easy
Mercedes,C-Class,2010,Tire Issues,"Car vibration, Uneven tire wear, Low tire pressure",Balance tires,$157,Easy
Nissan,Patrol,2001,Engine Oil Leak,Burning smell,Replace gaskets,$309,Medium
